simplified,pinyin,traditional,pos,classifier,definition,source
名胜,míng shèng,名勝,n,处,scenic spot,old-HSK5
明信片,míng xìn piàn,明信片,n,,postcard,old-HSK5
明星,míng xīng,明星,n,,star; celebrity,old-HSK5
命令,mìng lìng,命令,"n, v","道, 个",order,old-HSK5
命令,mìng lìng,命令,"n, v","道, 个",command,old-HSK5
摸,mō,摸,v,,to feel with the hand,old-HSK5
摸,mō,摸,v,,to touch,old-HSK5
摸,mō,摸,v,,to stroke,old-HSK5
摸,mō,摸,v,,to grope,old-HSK5
摸,mō,摸,v,,to steal,old-HSK5
摸,mō,摸,v,,to abstract,old-HSK5
摸,mó,摸,v,,variant of 摹,old-HSK5
模仿,mó fǎng,模仿,"v, vn",,to imitate,old-HSK5
模仿,mó fǎng,模仿,"v, vn",,to copy,old-HSK5
模仿,mó fǎng,模仿,"v, vn",,to emulate,old-HSK5
模仿,mó fǎng,模仿,"v, vn",,to mimic,old-HSK5
模仿,mó fǎng,模仿,"v, vn",,model,old-HSK5
模糊,mó hu,模糊,"a, v",,vague,old-HSK5
模糊,mó hu,模糊,"a, v",,indistinct,old-HSK5
模糊,mó hu,模糊,"a, v",,fuzzy,old-HSK5
摩托车,mó tuō chē,摩托車,n,"辆, 部",(loanword) motorbike; motorcycle,old-HSK5
陌生,mò shēng,陌生,"a, ad",,strange,old-HSK5
陌生,mò shēng,陌生,"a, ad",,unfamiliar,old-HSK5
目录,mù lù,目錄,n,,catalog,old-HSK5
目录,mù lù,目錄,n,,table of contents,old-HSK5
目录,mù lù,目錄,n,,directory (on computer hard drive),old-HSK5
目录,mù lù,目錄,n,,list,old-HSK5
目录,mù lù,目錄,n,,contents,old-HSK5
哪怕,nǎ pà,哪怕,c,,even,old-HSK5
哪怕,nǎ pà,哪怕,c,,even if,old-HSK5
哪怕,nǎ pà,哪怕,c,,even though,old-HSK5
哪怕,nǎ pà,哪怕,c,,no matter how,old-HSK5
难怪,nán guài,難怪,d,,(it's) no wonder (that...),old-HSK5
难怪,nán guài,難怪,d,,(it's) not surprising (that),old-HSK5
难看,nán kàn,難看,a,,ugly,old-HSK5
难看,nán kàn,難看,a,,unsightly,old-HSK5
脑袋,nǎo dai,腦袋,n,"颗, 个",head,old-HSK5
脑袋,nǎo dai,腦袋,n,"颗, 个",skull,old-HSK5
脑袋,nǎo dai,腦袋,n,"颗, 个",brains,old-HSK5
脑袋,nǎo dai,腦袋,n,"颗, 个",mental capability,old-HSK5
内科,nèi kē,內科,"n, nr",,internal medicine; general medicine,old-HSK5
嫩,nèn,嫩,a,,young and tender,old-HSK5
嫩,nèn,嫩,a,,(of food) tender; lightly cooked,old-HSK5
嫩,nèn,嫩,a,,(of color) light,old-HSK5
嫩,nèn,嫩,a,,(of a person) inexperienced; unskilled,old-HSK5
嫩,nèn,嫰,a,,old variant of 嫩,old-HSK5
能干,néng gàn,能幹,"a, an",,capable,old-HSK5
能干,néng gàn,能幹,"a, an",,competent,old-HSK5
能源,néng yuán,能源,n,个,energy,old-HSK5
能源,néng yuán,能源,n,个,power source,old-HSK5
宁可,nìng kě,寧可,"d, c",,preferably,old-HSK5
宁可,nìng kě,寧可,"d, c",,one would prefer to...(or not to...),old-HSK5
宁可,nìng kě,寧可,"d, c",,would rather,old-HSK5
宁可,nìng kě,寧可,"d, c",,(would) be better to,old-HSK5
宁可,nìng kě,寧可,"d, c",,(to pick) the lesser of two evils,old-HSK5
牛仔裤,niú zǎi kù,牛仔褲,n,条,jeans,old-HSK5
浓,nóng,濃,a,,concentrated,old-HSK5
浓,nóng,濃,a,,dense,old-HSK5
浓,nóng,濃,a,,strong (smell etc),old-HSK5
女士,nǚ shì,女士,n,"个, 位",lady,old-HSK5
女士,nǚ shì,女士,n,"个, 位",madam,old-HSK5
女士,nǚ shì,女士,n,"个, 位",Miss,old-HSK5
女士,nǚ shì,女士,n,"个, 位",Ms,old-HSK5
偶然,ǒu rán,偶然,"a, ad",,incidentally,old-HSK5
偶然,ǒu rán,偶然,"a, ad",,occasional,old-HSK5
偶然,ǒu rán,偶然,"a, ad",,occasionally,old-HSK5
偶然,ǒu rán,偶然,"a, ad",,by chance,old-HSK5
偶然,ǒu rán,偶然,"a, ad",,randomly,old-HSK5
排队,pái duì,排隊,"v, vn",,to line up,old-HSK5
排球,pái qiú,排球,n,个,volleyball,old-HSK5
盼望,pàn wàng,盼望,v,,to hope for; to look forward to,old-HSK5
培养,péi yǎng,培養,"v, vn",,to cultivate,old-HSK5
培养,péi yǎng,培養,"v, vn",,to breed,old-HSK5
培养,péi yǎng,培養,"v, vn",,to foster,old-HSK5
培养,péi yǎng,培養,"v, vn",,to nurture,old-HSK5
培养,péi yǎng,培養,"v, vn",,to educate,old-HSK5
培养,péi yǎng,培養,"v, vn",,to groom (for a position),old-HSK5
培养,péi yǎng,培養,"v, vn",,education,old-HSK5
培养,péi yǎng,培養,"v, vn",,fostering,old-HSK5
培养,péi yǎng,培養,"v, vn",,culture (biology),old-HSK5
赔偿,péi cháng,賠償,"v, vn",,to compensate,old-HSK5
佩服,pèi fú,佩服,v,,to admire,old-HSK5
盆,pén,盆,"n, q",个,basin,old-HSK5
盆,pén,盆,"n, q",个,flower pot,old-HSK5
盆,pén,盆,"n, q",个,"unit of volume equal to 12 斗 and 8 升, approx 128 liters",old-HSK5
碰见,pèng jiàn,碰見,v,,to run into,old-HSK5
碰见,pèng jiàn,碰見,v,,to meet (unexpectedly),old-HSK5
碰见,pèng jiàn,碰見,v,,to bump into,old-HSK5
批,pī,批,"q, v",,to ascertain,old-HSK5
批,pī,批,"q, v",,to act on,old-HSK5
批,pī,批,"q, v",,to criticize,old-HSK5
批,pī,批,"q, v",,to pass on,old-HSK5
批,pī,批,"q, v",,"classifier for batches, lots, military flights",old-HSK5
批,pī,批,"q, v",,tier (for the ranking of universities and colleges),old-HSK5
披,pī,披,v,,to drape over one's shoulders,old-HSK5
披,pī,披,v,,to open,old-HSK5
披,pī,披,v,,to unroll,old-HSK5
披,pī,披,v,,to split open,old-HSK5
披,pī,披,v,,to spread out,old-HSK5
皮鞋,pí xié,皮鞋,n,,leather shoes,old-HSK5
疲劳,pí láo,疲勞,"a, an, ad",,fatigue,old-HSK5
疲劳,pí láo,疲勞,"a, an, ad",,wearily,old-HSK5
疲劳,pí láo,疲勞,"a, an, ad",,weariness,old-HSK5
疲劳,pí láo,疲勞,"a, an, ad",,weary,old-HSK5
匹,pī,匹,"q, g",,mate,old-HSK5
匹,pī,匹,"q, g",,one of a pair,old-HSK5
匹,pǐ,匹,"q, g",,"classifier for horses, mules etc",old-HSK5
匹,pǐ,匹,"q, g",,Taiwan pr. [pī],old-HSK5
匹,pǐ,匹,"q, g",,ordinary person,old-HSK5
匹,pǐ,匹,"q, g",,classifier for cloth: bolt,old-HSK5
匹,pǐ,匹,"q, g",,horsepower,old-HSK5
匹,pǐ,疋,"q, g",,variant of 匹,old-HSK5
匹,pǐ,疋,"q, g",,classifier for cloth: bolt,old-HSK5
片,piān,片,"q, g",,disk,old-HSK5
片,piān,片,"q, g",,sheet,old-HSK5
片,piàn,片,"q, g",,thin piece,old-HSK5
片,piàn,片,"q, g",,flake,old-HSK5
片,piàn,片,"q, g",,a slice,old-HSK5
片,piàn,片,"q, g",,film,old-HSK5
片,piàn,片,"q, g",,TV play,old-HSK5
片,piàn,片,"q, g",,to slice,old-HSK5
片,piàn,片,"q, g",,to carve thin,old-HSK5
片,piàn,片,"q, g",,partial,old-HSK5
片,piàn,片,"q, g",,incomplete,old-HSK5
片,piàn,片,"q, g",,one-sided,old-HSK5
片,piàn,片,"q, g",,"classifier for slices, tablets, tract of land, area of water",old-HSK5
片,piàn,片,"q, g",,"classifier for CDs, movies, DVDs etc",old-HSK5
片,piàn,片,"q, g",,"used with numeral 一: classifier for scenario, scene, feeling, atmosphere, sound etc",old-HSK5
片,piàn,片,"q, g",,Kangxi radical 91,old-HSK5
片面,piàn miàn,片面,"a, ad",,unilateral,old-HSK5
片面,piàn miàn,片面,"a, ad",,one-sided,old-HSK5
飘,piāo,飃,v,,variant of 飘,old-HSK5
飘,piāo,飄,v,,to float,old-HSK5
频道,pín dào,頻道,n,,frequency,old-HSK5
频道,pín dào,頻道,n,,(television) channel,old-HSK5
品种,pǐn zhǒng,品種,n,个,breed,old-HSK5
品种,pǐn zhǒng,品種,n,个,variety,old-HSK5
平,Píng,平,"a, v",,surname Ping,old-HSK5
平,píng,平,"a, v",,flat,old-HSK5
平,píng,平,"a, v",,level,old-HSK5
平,píng,平,"a, v",,equal,old-HSK5
平,píng,平,"a, v",,to tie (make the same score),old-HSK5
平,píng,平,"a, v",,to draw (score),old-HSK5
平,píng,平,"a, v",,calm,old-HSK5
平,píng,平,"a, v",,peaceful,old-HSK5
平,píng,平,"a, v",,abbr. for 平声,old-HSK5
平常,píng cháng,平常,"a, d, t, n",,ordinary,old-HSK5
平常,píng cháng,平常,"a, d, t, n",,common,old-HSK5
平常,píng cháng,平常,"a, d, t, n",,usually,old-HSK5
平常,píng cháng,平常,"a, d, t, n",,ordinarily,old-HSK5
平等,píng děng,平等,"a, ad, an",,equal,old-HSK5
平等,píng děng,平等,"a, ad, an",,equality,old-HSK5
平方,píng fāng,平方,"q, n",,"square (as in square foot, square mile, square root)",old-HSK5
平衡,píng héng,平衡,"a, an, v",,balance,old-HSK5
平衡,píng héng,平衡,"a, an, v",,equilibrium,old-HSK5
平静,píng jìng,平靜,"a, an, ad",,tranquil,old-HSK5
平静,píng jìng,平靜,"a, an, ad",,undisturbed,old-HSK5
平静,píng jìng,平靜,"a, an, ad",,serene,old-HSK5
平均,píng jūn,平均,"a, ad, v",,average; on average,old-HSK5
平均,píng jūn,平均,"a, ad, v",,evenly; in equal proportions,old-HSK5
凭,píng,凴,"p, v",,variant of 凭,old-HSK5
凭,píng,憑,"p, v",,to lean against,old-HSK5
凭,píng,憑,"p, v",,to rely on,old-HSK5
凭,píng,憑,"p, v",,on the basis of,old-HSK5
凭,píng,憑,"p, v",,"no matter (how, what etc)",old-HSK5
凭,píng,憑,"p, v",,proof,old-HSK5
迫切,pò qiè,迫切,"ad, a",,urgent; pressing,old-HSK5
破产,pò chǎn,破產,"v, vn",,to go bankrupt,old-HSK5
破产,pò chǎn,破產,"v, vn",,to become impoverished,old-HSK5
破产,pò chǎn,破產,"v, vn",,bankruptcy,old-HSK5
朴素,pǔ sù,樸素,a,,plain and simple,old-HSK5
朴素,pǔ sù,樸素,a,,unadorned,old-HSK5
朴素,pǔ sù,樸素,a,,simple living,old-HSK5
朴素,pǔ sù,樸素,a,,not frivolous,old-HSK5
期待,qī dài,期待,"v, vn",,to look forward to,old-HSK5
期待,qī dài,期待,"v, vn",,to await,old-HSK5
期待,qī dài,期待,"v, vn",,expectation,old-HSK5
期间,qī jiān,期間,f,个,period of time,old-HSK5
期间,qī jiān,期間,f,个,time,old-HSK5
期间,qī jiān,期間,f,个,time period,old-HSK5
期间,qī jiān,期間,f,个,period,old-HSK5
其余,qí yú,其餘,r,,the rest,old-HSK5
其余,qí yú,其餘,r,,the others,old-HSK5
其余,qí yú,其餘,r,,remaining,old-HSK5
其余,qí yú,其餘,r,,remainder,old-HSK5
其余,qí yú,其餘,r,,apart from them,old-HSK5
奇迹,qí jì,奇跡,n,,miracle,old-HSK5
奇迹,qí jì,奇跡,n,,miraculous,old-HSK5
奇迹,qí jì,奇跡,n,,wonder,old-HSK5
奇迹,qí jì,奇跡,n,,marvel,old-HSK5
企图,qǐ tú,企圖,"v, vn",种,to attempt,old-HSK5
企图,qǐ tú,企圖,"v, vn",种,to try,old-HSK5
企图,qǐ tú,企圖,"v, vn",种,attempt,old-HSK5
企业,qǐ yè,企業,n,家,company; firm; enterprise; corporation,old-HSK5
启发,qǐ fā,啟發,"v, vn",,to enlighten,old-HSK5
启发,qǐ fā,啟發,"v, vn",,to explain (a text etc),old-HSK5
启发,qǐ fā,啟發,"v, vn",,to stimulate (a mental attitude),old-HSK5
启发,qǐ fā,啟發,"v, vn",,enlightenment,old-HSK5
启发,qǐ fā,啟發,"v, vn",,revelation,old-HSK5
启发,qǐ fā,啟發,"v, vn",,motivation,old-HSK5
气氛,qì fēn,氣氛,n,,atmosphere; mood,old-HSK5
汽油,qì yóu,汽油,n,,gasoline,old-HSK5
牵,qiān,牽,v,,to lead along,old-HSK5
牵,qiān,牽,v,,to pull (an animal on a tether),old-HSK5
牵,qiān,牽,v,,(bound form) to involve,old-HSK5
牵,qiān,牽,v,,to draw in,old-HSK5
谦虚,qiān xū,謙虛,"a, ad",,modest,old-HSK5
谦虚,qiān xū,謙虛,"a, ad",,self-effacing,old-HSK5
谦虚,qiān xū,謙虛,"a, ad",,to make modest remarks,old-HSK5
签字,qiān zì,簽字,"v, vn",,to sign (one's name),old-HSK5
签字,qiān zì,簽字,"v, vn",,signature,old-HSK5
前途,qián tú,前途,n,,prospects,old-HSK5
前途,qián tú,前途,n,,future outlook,old-HSK5
前途,qián tú,前途,n,,journey,old-HSK5
浅,jiān,淺,"a, ad",,sound of moving water,old-HSK5
浅,qiǎn,淺,"a, ad",,shallow,old-HSK5
浅,qiǎn,淺,"a, ad",,light (color),old-HSK5
欠,qiàn,欠,v,,to owe,old-HSK5
欠,qiàn,欠,v,,to lack,old-HSK5
欠,qiàn,欠,v,,(literary) to be deficient in,old-HSK5
欠,qiàn,欠,v,,(bound form) yawn,old-HSK5
欠,qiàn,欠,v,,to raise slightly (a part of one's body),old-HSK5
枪,Qiāng,槍,"n, q",,surname Qiang,old-HSK5
枪,qiāng,槍,"n, q","支, 把, 杆, 条, 枝",gun,old-HSK5
枪,qiāng,槍,"n, q","支, 把, 杆, 条, 枝",firearm,old-HSK5
枪,qiāng,槍,"n, q","支, 把, 杆, 条, 枝",rifle,old-HSK5
枪,qiāng,槍,"n, q","支, 把, 杆, 条, 枝",spear,old-HSK5
枪,qiāng,槍,"n, q","支, 把, 杆, 条, 枝",thing with shape or function similar to a gun,old-HSK5
枪,qiāng,槍,"n, q","支, 把, 杆, 条, 枝",to substitute for another person in a test,old-HSK5
枪,qiāng,槍,"n, q","支, 把, 杆, 条, 枝",to knock,old-HSK5
枪,qiāng,槍,"n, q","支, 把, 杆, 条, 枝",classifier for rifle shots,old-HSK5
枪,qiāng,鎗,"n, q",,variant of 枪,old-HSK5
枪,qiāng,鎗,"n, q",,rifle,old-HSK5
枪,qiāng,鎗,"n, q",,spear,old-HSK5
抢,qiāng,搶,v,,(literary) to knock against (esp. to knock one's head on the ground in grief or rage),old-HSK5
抢,qiāng,搶,v,,opposite in direction; contrary,old-HSK5
抢,qiǎng,搶,v,,to fight over,old-HSK5
抢,qiǎng,搶,v,,to rush,old-HSK5
抢,qiǎng,搶,v,,to scramble,old-HSK5
抢,qiǎng,搶,v,,to grab,old-HSK5
抢,qiǎng,搶,v,,to rob,old-HSK5
抢,qiǎng,搶,v,,to snatch,old-HSK5
悄悄,qiāo qiāo,悄悄,d,,quiet; making little or no noise,old-HSK5
悄悄,qiāo qiāo,悄悄,d,,surreptitious; stealthy,old-HSK5
悄悄,qiāo qiāo,悄悄,d,,anxious; worried,old-HSK5
悄悄,qiāo qiāo,悄悄,d,,Taiwan pr. [qiǎo qiǎo],old-HSK5
瞧,qiáo,瞧,v,,to look at,old-HSK5
瞧,qiáo,瞧,v,,to see,old-HSK5
瞧,qiáo,瞧,v,,to see (a doctor),old-HSK5
瞧,qiáo,瞧,v,,to visit,old-HSK5
巧妙,qiǎo miào,巧妙,"a, ad",,ingenious; clever,old-HSK5
巧妙,qiǎo miào,巧妙,"a, ad",,ingenuity; artifice,old-HSK5
切,qiē,切,"v, d, g",,to cut; to slice; to carve,old-HSK5
切,qiē,切,"v, d, g",,(math) tangential,old-HSK5
切,qiè,切,"v, d, g",,definitely; absolutely (not),old-HSK5
切,qiè,切,"v, d, g",,"(scoffing or dismissive interjection) Yeah, right.; Tut!",old-HSK5
切,qiè,切,"v, d, g",,to grind,old-HSK5
切,qiè,切,"v, d, g",,(bound form) close to,old-HSK5
切,qiè,切,"v, d, g",,(bound form) eager,old-HSK5
切,qiè,切,"v, d, g",,to correspond to,old-HSK5
切,qiè,切,"v, d, g",,(used to indicate that the fanqie 切 system should be applied to the previous two characters),old-HSK5
亲爱,qīn ài,親愛,a,,dear,old-HSK5
亲爱,qīn ài,親愛,a,,beloved,old-HSK5
亲爱,qīn ài,親愛,a,,darling,old-HSK5
侵略,qīn lu:è,侵略,"v, vn",,to invade,old-HSK5
侵略,qīn lu:è,侵略,"v, vn",,invasion,old-HSK5
勤奋,qín fèn,勤奮,"a, ad, an",,hardworking,old-HSK5
勤奋,qín fèn,勤奮,"a, ad, an",,diligent,old-HSK5
勤劳,qín láo,勤勞,"a, ad, an",,hardworking,old-HSK5
勤劳,qín láo,勤勞,"a, ad, an",,industrious,old-HSK5
勤劳,qín láo,勤勞,"a, ad, an",,diligent,old-HSK5
青,Qīng,青,"a, b",,"abbr. for 海, Qinghai Province",old-HSK5
青,qīng,青,"a, b",,green,old-HSK5
青,qīng,青,"a, b",,blue,old-HSK5
青,qīng,青,"a, b",,black,old-HSK5
青,qīng,青,"a, b",,youth,old-HSK5
青,qīng,青,"a, b",,young (of people),old-HSK5
青春,qīng chūn,青春,n,,youth,old-HSK5
青春,qīng chūn,青春,n,,youthfulness,old-HSK5
青少年,qīng shào nián,青少年,n,,adolescent,old-HSK5
青少年,qīng shào nián,青少年,n,,youth,old-HSK5
青少年,qīng shào nián,青少年,n,,teenager,old-HSK5
轻视,qīng shì,輕視,"v, vn",,contempt,old-HSK5
轻视,qīng shì,輕視,"v, vn",,contemptuous,old-HSK5
轻视,qīng shì,輕視,"v, vn",,to despise,old-HSK5
轻视,qīng shì,輕視,"v, vn",,to scorn,old-HSK5
轻视,qīng shì,輕視,"v, vn",,scornful,old-HSK5
清淡,qīng dàn,清淡,a,,"light (of food, not greasy or strongly flavored)",old-HSK5
清淡,qīng dàn,清淡,a,,insipid,old-HSK5
清淡,qīng dàn,清淡,a,,slack (sales),old-HSK5
情景,qíng jǐng,情景,n,,scene,old-HSK5
情景,qíng jǐng,情景,n,,spectacle,old-HSK5
情景,qíng jǐng,情景,n,,circumstances,old-HSK5
情景,qíng jǐng,情景,n,,situation,old-HSK5
情绪,qíng xù,情緒,n,种,mood,old-HSK5
情绪,qíng xù,情緒,n,种,state of mind,old-HSK5
情绪,qíng xù,情緒,n,种,moodiness,old-HSK5
请求,qǐng qiú,請求,"v, n",个,to request; to ask,old-HSK5
请求,qǐng qiú,請求,"v, n",个,request,old-HSK5
趋势,qū shì,趨勢,n,,trend; tendency,old-HSK5
娶,qǔ,娶,v,,to take a wife,old-HSK5
娶,qǔ,娶,v,,to marry (a woman),old-HSK5
圈,juān,圈,"qv, n, v",,to confine,old-HSK5
圈,juān,圈,"qv, n, v",,to lock up,old-HSK5
圈,juān,圈,"qv, n, v",,to pen in,old-HSK5
圈,juàn,圈,"qv, n, v",,livestock enclosure; pen; fold; sty,old-HSK5
圈,quān,圈,"qv, n, v",个,circle; ring; loop,old-HSK5
圈,quān,圈,"qv, n, v",个,"classifier for loops, orbits, laps of race etc",old-HSK5
圈,quān,圈,"qv, n, v",个,to surround; to circle,old-HSK5
权力,quán lì,權力,n,,power,old-HSK5
权力,quán lì,權力,n,,authority,old-HSK5
权利,quán lì,權利,n,,right (i.e. an entitlement to sth),old-HSK5
权利,quán lì,權利,n,,(classical) power and wealth,old-HSK5
劝,quàn,勸,v,,to advise,old-HSK5
劝,quàn,勸,v,,to urge,old-HSK5
劝,quàn,勸,v,,to try to persuade,old-HSK5
劝,quàn,勸,v,,to exhort,old-HSK5
劝,quàn,勸,v,,to console,old-HSK5
劝,quàn,勸,v,,to soothe,old-HSK5
缺乏,quē fá,缺乏,"v, vn",,to lack; to be short of,old-HSK5
确认,què rèn,確認,"v, vn",,to confirm,old-HSK5
确认,què rèn,確認,"v, vn",,to verify,old-HSK5
确认,què rèn,確認,"v, vn",,confirmation,old-HSK5
燃烧,rán shāo,燃燒,"v, vn",,to ignite,old-HSK5
燃烧,rán shāo,燃燒,"v, vn",,to combust,old-HSK5
燃烧,rán shāo,燃燒,"v, vn",,to burn,old-HSK5
燃烧,rán shāo,燃燒,"v, vn",,combustion,old-HSK5
燃烧,rán shāo,燃燒,"v, vn",,flaming,old-HSK5
嚷,rǎng,嚷,v,,to shout,old-HSK5
嚷,rǎng,嚷,v,,to bellow,old-HSK5
嚷,rǎng,嚷,v,,to make a big deal of sth,old-HSK5
嚷,rǎng,嚷,v,,to make a fuss about sth,old-HSK5
绕,rào,繞,v,,to wind,old-HSK5
绕,rào,繞,v,,to coil (thread),old-HSK5
绕,rào,繞,v,,to rotate around,old-HSK5
绕,rào,繞,v,,to spiral,old-HSK5
绕,rào,繞,v,,to move around,old-HSK5
绕,rào,繞,v,,to go round (an obstacle),old-HSK5
绕,rào,繞,v,,to by-pass,old-HSK5
绕,rào,繞,v,,to make a detour,old-HSK5
绕,rào,繞,v,,to confuse,old-HSK5
绕,rào,繞,v,,to perplex,old-HSK5
绕,rào,遶,v,,"variant of 绕, to rotate around",old-HSK5
绕,rào,遶,v,,to spiral,old-HSK5
绕,rào,遶,v,,to move around,old-HSK5
绕,rào,遶,v,,to go round (an obstacle),old-HSK5
绕,rào,遶,v,,to by-pass,old-HSK5
绕,rào,遶,v,,to make a detour,old-HSK5
热心,rè xīn,熱心,"a, v, ad, u, an",,enthusiastic; ardent; zealous,old-HSK5
人口,rén kǒu,人口,n,,population,old-HSK5
人口,rén kǒu,人口,n,,people,old-HSK5
人事,rén shì,人事,n,,personnel,old-HSK5
人事,rén shì,人事,n,,human resources,old-HSK5
人事,rén shì,人事,n,,human affairs,old-HSK5
人事,rén shì,人事,n,,ways of the world,old-HSK5
人事,rén shì,人事,n,,(euphemism) sexuality,old-HSK5
人事,rén shì,人事,n,,the facts of life,old-HSK5
人物,rén wù,人物,n,,person; personage; figure (esp. sb of importance),old-HSK5
人物,rén wù,人物,n,,"character (in a play, novel etc)",old-HSK5
人物,rén wù,人物,n,,figure painting (as a genre of traditional Chinese painting),old-HSK5
忍不住,rěn bu zhù,忍不住,v,,cannot help,old-HSK5
忍不住,rěn bu zhù,忍不住,v,,unable to bear,old-HSK5
日程,rì chéng,日程,n,个,schedule,old-HSK5
日程,rì chéng,日程,n,个,itinerary,old-HSK5
日历,rì lì,日曆,n,"张, 本",calendar,old-HSK5
日期,rì qī,日期,n,个,date,old-HSK5
日用品,rì yòng pǐn,日用品,n,"件, 个",articles for daily use,old-HSK5
荣幸,róng xìng,榮幸,"a, an",,honored (to have the privilege of ...),old-HSK5
荣誉,róng yù,榮譽,n,,honor,old-HSK5
荣誉,róng yù,榮譽,n,,credit,old-HSK5
荣誉,róng yù,榮譽,n,,glory,old-HSK5
荣誉,róng yù,榮譽,n,,(honorable) reputation,old-HSK5
荣誉,róng yù,榮譽,n,,honorary,old-HSK5
融化,róng huà,融化,v,,to melt,old-HSK5
融化,róng huà,融化,v,,to thaw,old-HSK5
融化,róng huà,融化,v,,to dissolve,old-HSK5
融化,róng huà,融化,v,,to blend into,old-HSK5
融化,róng huà,融化,v,,to combine,old-HSK5
融化,róng huà,融化,v,,to fuse,old-HSK5
如今,rú jīn,如今,t,,nowadays,old-HSK5
如今,rú jīn,如今,t,,now,old-HSK5
软件,ruǎn jiàn,軟件,n,,(computer) software,old-HSK5
弱,ruò,弱,a,,weak; feeble,old-HSK5
弱,ruò,弱,a,,young,old-HSK5
弱,ruò,弱,a,,inferior; not as good as,old-HSK5
弱,ruò,弱,a,,(following a decimal or fraction) slightly less than,old-HSK5
洒,sǎ,灑,v,,to sprinkle,old-HSK5
洒,sǎ,灑,v,,to spray,old-HSK5
洒,sǎ,灑,v,,to spill,old-HSK5
洒,sǎ,灑,v,,to shed,old-HSK5
嗓子,sǎng zi,嗓子,n,把,throat,old-HSK5
嗓子,sǎng zi,嗓子,n,把,voice,old-HSK5
杀,shā,殺,v,,to kill,old-HSK5
杀,shā,殺,v,,to murder,old-HSK5
杀,shā,殺,v,,to attack,old-HSK5
杀,shā,殺,v,,to weaken or reduce,old-HSK5
杀,shā,殺,v,,to smart (dialect),old-HSK5
杀,shā,殺,v,,(used after a verb) extremely,old-HSK5
沙漠,shā mò,沙漠,n,个,desert,old-HSK5
沙滩,shā tān,沙灘,n,片,beach,old-HSK5
沙滩,shā tān,沙灘,n,片,sandy shore,old-HSK5
傻,shǎ,傻,"a, an",,foolish,old-HSK5
晒,shài,晒,"v, vn",,variant of 晒,old-HSK5
晒,shài,曬,"v, vn",,(of the sun) to shine on,old-HSK5
晒,shài,曬,"v, vn",,to bask in (the sunshine),old-HSK5
晒,shài,曬,"v, vn",,"to dry (clothes, grain etc) in the sun",old-HSK5
晒,shài,曬,"v, vn",,"(fig.) to expose and share (one's experiences and thoughts) on the Web (loanword from ""share"")",old-HSK5
晒,shài,曬,"v, vn",,(coll.) to give the cold shoulder to,old-HSK5
删除,shān chú,刪除,v,,to delete,old-HSK5
删除,shān chú,刪除,v,,to cancel,old-HSK5
闪电,shǎn diàn,閃電,"n, v",道,lightning,old-HSK5
扇子,shàn zi,扇子,n,把,fan,old-HSK5
善良,shàn liáng,善良,"a, an",,good and honest,old-HSK5
善良,shàn liáng,善良,"a, an",,kindhearted,old-HSK5
善于,shàn yú,善於,v,,to be good at; to be adept at,old-HSK5
上当,shàng dàng,上當,v,,taken in (by sb's deceit),old-HSK5
上当,shàng dàng,上當,v,,to be fooled,old-HSK5
上当,shàng dàng,上當,v,,to be duped,old-HSK5
勺子,sháo zi,勺子,n,把,scoop,old-HSK5
勺子,sháo zi,勺子,n,把,ladle,old-HSK5
舌头,shé tou,舌頭,n,个,tongue,old-HSK5
舌头,shé tou,舌頭,n,个,enemy soldier captured for the purpose of extracting information,old-HSK5
蛇,shé,虵,n,,variant of 蛇,old-HSK5
蛇,shé,蛇,n,条,snake,old-HSK5
蛇,shé,蛇,n,条,serpent,old-HSK5
舍不得,shě bu de,捨不得,v,,to hate to do sth,old-HSK5
舍不得,shě bu de,捨不得,v,,to hate to part with,old-HSK5
舍不得,shě bu de,捨不得,v,,to begrudge,old-HSK5
设施,shè shī,設施,n,,facilities,old-HSK5
设施,shè shī,設施,n,,installation,old-HSK5
射击,shè jī,射擊,"v, vn",,to shoot,old-HSK5
射击,shè jī,射擊,"v, vn",,to fire (a gun),old-HSK5
摄影,shè yǐng,攝影,"v, vn",,to take a photograph,old-HSK5
摄影,shè yǐng,攝影,"v, vn",,photography,old-HSK5
摄影,shè yǐng,攝影,"v, vn",,to shoot (a movie),old-HSK5
伸,shēn,伸,v,,to stretch,old-HSK5
伸,shēn,伸,v,,to extend,old-HSK5
身材,shēn cái,身材,n,,stature,old-HSK5
身材,shēn cái,身材,n,,build (height and weight),old-HSK5
身材,shēn cái,身材,n,,figure,old-HSK5
身份,shēn fèn,身份,n,,identity,old-HSK5
身份,shēn fèn,身份,n,,"aspect of one's identity (i.e. sth that one is – mayor, father, permanent resident etc)",old-HSK5
身份,shēn fèn,身份,n,,role,old-HSK5
身份,shēn fèn,身份,n,,"capacity (as in ""in his capacity as a ..."" 以…份)",old-HSK5
身份,shēn fèn,身份,n,,"status (social, legal etc)",old-HSK5
身份,shēn fèn,身份,n,,position,old-HSK5
身份,shēn fèn,身份,n,,rank,old-HSK5
神话,shén huà,神話,n,,legend,old-HSK5
神话,shén huà,神話,n,,fairy tale,old-HSK5
神话,shén huà,神話,n,,myth,old-HSK5
神话,shén huà,神話,n,,mythology,old-HSK5
神经,shén jīng,神經,n,,nerve,old-HSK5
神经,shén jīng,神經,n,,mental state,old-HSK5
神经,shén jīng,神經,n,,(coll.) unhinged,old-HSK5
